,rating,review
0,4,"This 55 inches Tv is awesome one when watching prime videos thru HDMI ARC sound from Sony home theater ( don't believe if any one says ARC not working) I don't trust technician also because they don't know also about ARC.You will  enjoy pure dolby sourround sound and you will feel the cinima admosfear, picture quality very wellEverybody should know basic tv technology  then only you can enjoy the cinima effectThanksMuthuREAD MORE"
1,5,"I gifted it to my grandparents, Best smart tv for old age people , once the tv gets on it will directly take you to cable connection & picture quality is not great compared to vu tv . Otherwise this tv is an awesome deal .READ MORE"
2,5,"Superb;Picture clarity is Ultimate even in 1080p I feel it's enough , 4k is soo good, sound also very good. youtube working fine but small issue with remote key when rising volume video forward for 2sec some times it's not big problem. Mirror cast needs some more improvement from Thomson.   Channels of DTH working fine. Totally under 25k this much TV with these options good.          Finally made in India product Thomson is better than some other country brands.READ MORE"
3,4,My experience after the usage of week .... official Android tv os and support lots of apps & others install form the play store..a perfect package for the resonable cost but the hardware specification like a ram & storage are very less as compare with the past modles....4gb available out of 8gb so can't keep many apps ...the tv performance was avarage......the tv is oath pro but the biitter truth is low ram & internal storage 😒Picture-4 Sound-4Connectivity-4🤗Overall average product🤗READ MORE
4,5,"Guys, believe me I recommend only Sony Bravia but this brand changed my perception. Not familiar brand as I believe most of us may not trust on this. But super picture quality equally competent to sony n connectivity. But sound I m not satisfied to the extent it described. Only went ahead n purchased based on d reviews. Truly worth.READ MORE"
5,5,"Good picture quality. Very good ips panel. Black is black on this panel. Hd content looks very good. Even SD content upscaling is improved, but sony, samsung provides better upscaling. Use it with HD settop box.Dolby digital sound is excellent. It is Value for money tv. Recommended if you are looking for a budge tv.READ MORE"
6,4,"Overall good buy..and very good follow up from THomson customer care post purchase.-1 StarHere are my few cents on the review-Overall performance, screen smoothness, backlight,sound are very good. -1 StarConnectivity - My chromecast and wireless connectivity with app is not that good so Custer care has advised to reset the tv.-  No stars as of nowhere are some other points on the specification- 1.5 StarRAM -1. 5GBREFRESH RATE- 50 HZ NOT 60 HZTotal memory -7.9 GB approx. Available - 3....READ MORE"
7,4,value for money 💯💯💯 picture quality is extraordinary!in online content picture upscaling also good at that range30w speakers gives a thumping sound experiencei used the tv 4 days all are good to my view.only problemwhen i paly 4k video picture hangs on i think its a softwareproblem. i hope Thomson will fix it soon in upcoming software updates. when i paly 4k video in my Hard disk its play like a champ!💯. in dth HD channels paly very smoothly and ultra clearlyREAD MORE
8,5,"its amazing product very good quality, is display quality is the best product very very fast delivery order thank you flipkart ❤️🤗READ MORE"
9,5,"Go for it with closed eyes!One of the best TV in this price segment. Amazing picture quality, sound, edge to edge display and the software! Love it! This was my second Thomson Tv and i can recommend it to anyone!READ MORE"
10,5,Great TV for 4K gaming and viewing 4K content. Supports HDMI 2.1. NO Dolby Vision support with Xbox series x. Works great with PS5READ MORE
11,5,"Superb Picture Quality, Sound  is Crisp & Clear best among all the tvs i had in the past.READ MORE"
12,5,"After so much research I bought it. It’s been 3 weeks since I bought this TV.Worth the money & the sound quality is so good and high.When it comes to picture quality,It’s mind blowing(It has 500 NITS brightness which does the job.Kindly note no other TV has this much NITS in its segment which really essential for pure picture quality).Finally, I can say it’s an Absolute master piece in 25K-30K.READ MORE"
13,4,"This is my first Smart TV and my detailed review below: I bought this Thomson TV 4 days before after a long research on Internet & discussion with family and friends. I was worried about my TV experience in low budget since I cannot afford LG, SONY and SAMSUNG high end TVs. Now, I can confidently say the picture and sound quality of  Thomson TV I have recently bought is awesome. Flipkart delivery is really fast  and also demo & installation is too good. TV connectivity is also good. if u th...READ MORE"
14,5,"Everything is fine ,picture quality is nice .a perfect allrounder for a best priceREAD MORE"
15,5,"This product is superb & fantastic, very clear picture quality, fast connectivity, even on mobile hotspot its runs smoothly, not hanging after connecting internet. After buing, this product, I realy realised that, on investing this much money, is realy value for money. If guys want to purchase on this amount can go ahead.READ MORE"
16,5,Nice Tv l like very very much  connectivity superb picture and sound quality is GoodREAD MORE
17,5,"Great on Paper but not so in reality. The biggest disappointment this tv gave was with its internet capability. Wifi is unusable. Max 6 Mbps on wifi so forget streaming 4k, even HD is out of reach. Tried ethernet connection and even that was bad. Kept getting 50% of my bandwidth at max while on other tvs reached 100% speed. So if you want this tv for streaming on android os this is not such a good idea. Getting a fire tv stick might help. Its remote is poorly designed. A bulky unresponsive ga...READ MORE"
18,5,Loved the product..it will seriously make u smile nd happy too nd the technician were also good.. just go for itREAD MORE
19,5,The tv is really nice . Good quality n easy to use value for moneyREAD MORE
20,4,Very Good TV Good Sound everything is Good and awesomeREAD MORE
21,4,"Things that are bang on:Display: Good quality display, good brightness, HDR quality with MEMC technology is an added advantageSound: You cannot get better speakers at this price rangeThings that need improvement:Need to include a 3.5 mm audio jackOne thing that needs to be highlighted, whenever we play a video in any app and change the volume or go to ""more options"", the video skips a second, if this can be addressed through a software update then the TV will be 5 on 5READ MORE"
22,5,This is the 1st uhd 4k TV we bought .prior we had 32inch hd ready led TV . Here are my observations.What I liked :===========Picture qualitySoundSupported appsBezel lessWhat might have been better:=======================Internal storage is too lessFeels little bit laggyCould have given better start up timeIssues observed:==============Apps not connecting to internet if we start an app immediately after startup try again option also not working . There are 2 solutions to this ...READ MORE
23,4,"I think , I bought Super Star Smart TV in this Budget.I am rating this Out of 5.Picture Quality - 4.8*Sound Quality - 4.8*User Experience - 4.5*Connectivity -4.5*Overall experience is good . One thing make me disappointed, wall mount is not as good. It's a hanging type wall mount which can easily hang out by children and accidentally.That's all. You can buy it. Experience is awesome. ThanksRegardsArun Kumar.READ MORE"
24,5,Thomson stands upto it's reputation. Good value for money. Cost cutting in the right places. Not like other brands giving carbon fibre finish in unseen areas. Good picture viewing experience.Good sound clarity.4K is fantastic at optimum viewing distanceRAM and storage on lower sideAlready preloaded with needed appsOverall happy.READ MORE
25,5,Great deal with brand . Totally satisfied .picture quality is superb . Best deal at best prices . Thanks ThomsonREAD MORE
26,5,"This review is one month post usage. This is for anyone who is searching for an android smart tv and is confused about this brand, then the intention of my post is to clear the air. Thomson is a known European brand relaunched in India. THIS PRODUCT IS VALUE FOR MONEY. At this price one could not find a better product. Picture quality, finish, sound, remote are class apart. I strongly recommend this product to everyone. No one will regret it.READ MORE"
27,5,"Very satisfied with Filpcart service, delivery, installation assistance and the product is very good. Very good customer service aswell. All good and I recommed to others to buy this product and use Flipcart.READ MORE"
28,5,"Good picture quality. Design was good. Need some more options in settings section (like aspect ratio, need some manual sound settings, brightness adjustment, etc). But overall it is a nice product with amazing picture quality.READ MORE"
29,5,One word awesome TV… Used Sony Bravia 43 smart TV before .. this TV is very good compare to Sony in this segment ..READ MORE
30,4,"Ordered this TV on 18th Jul evening @5 and got it delivered the next day by 12 pm.. Great job by Flipkart for quick delivery. Got call for installation on the same day but I asked them to come the next day. Jeeves did good job with a friendly person guiding the installation. 1. The TV looks good with very thin bazzels... I've been using mi TV so long and this looks much better.2. Picture quality is very good with hdr10, dolby vision and memc..3. Sound could have been better, I did not fee...READ MORE"
31,5,"Using the TV for a week now With official Android TV OS and support for Netflix and Amazon Prime and other apps from playstore, a perfect package at a reasonable cost but ... but the hardware specifications such as RAM and Internal Storage are very less as compared to other competitors around there. Only  4gb is available out of 8, so can't keep many apps and games on the TV. Less RAM makes my TV a micromax moment😓. I liked the metal stand btw. The wall mount is not that great. Bezel less d...READ MORE"
32,5,I wrote this review after the use of Thomas TV's..I brought this Tv after a great search for best price Tv in low budget.And IAM fully satisfied with the Best price range..Picture quality is just super and I am fully satisfied with the product.Only issue is of storage issue apart from that this is the best tv I have seenJust go for it.READ MORE
